Allen Richard, 1/16/2025, 20026537
Allen Richard, 2/20/2025, 20026727
Auchincloss Jake, 2/21/2025, 20027810
Beyer Donald Sternoff Jr, 1/6/2025, 20026517
Bresnahan Rob, 2/13/2025, 20024346
Carter Earl Leroy, 3/6/2025, 20027913
Cisneros Gilbert, 2/11/2025, 20026726
Cisneros Gilbert, 3/6/2025, 20027891
Cohen Steve, 1/10/2025, 20026548
Collins Michael, 1/1/2025, 20026489
Collins Michael, 2/2/2025, 20026696
Collins Michael, 2/21/2025, 20027820
Comer James, 1/10/2025, 20018054
Comer James, 2/11/2025, 20026750
Connolly Gerald, 2/6/2025, 20026724
DelBene Suzan, 2/9/2025, 20026602
DelBene Suzan, 2/25/2025, 20027807
Dingell Debbie, 1/27/2025, 20026647
Doggett Lloyd, 1/8/2025, 20026535
Donalds Byron, 2/10/2025, 20026712
Foxx Virginia, 1/6/2025, 20026516
Foxx Virginia, 3/3/2025, 20027876
Franklin Scott Scott, 2/23/2025, 20027834
Gottheimer Josh, 1/14/2025, 20026533
Gottheimer Josh, 2/10/2025, 20026732
Gottheimer Josh, 3/6/2025, 20027901
Green Mark Dr, 1/13/2025, 20026538
Green Mark Dr, 2/6/2025, 20026701
Green Mark Dr, 2/28/2025, 20027845
Green Mark Dr, 3/5/2025, 20027900
Greene Marjorie Taylor, 1/27/2025, 20026658
Greene Marjorie Taylor, 2/14/2025, 20026791
Hern Kevin, 1/15/2025, 20026597
Hern Kevin, 2/14/2025, 20026794
Hill James French, 2/4/2025, 20026706
Jackson Jonathan, 1/16/2025, 20026545
Johnson Julie, 2/12/2025, 20026762
Joyce David, 2/7/2025, 20026736
Kean Thomas, 1/22/2025, 20026591
Kean Thomas, 2/19/2025, 20026802
Keating William, 1/15/2025, 20026556
Keating William, 2/25/2025, 20027837
Kelly Mike, 1/9/2025, 20026550
Kelly Mike, 2/14/2025, 20026792
Knott Brad, 2/25/2025, 20027846
Landsman Greg, 1/15/2025, 20026551
Landsman Greg, 3/5/2025, 20027885
Larsen Rick, 1/14/2025, 20026587
Latta Robert, 1/24/2025, 20026650
Lee Laurel, 1/7/2025, 20026513
Manning Kathy, 1/27/2025, 20026638
Miller Max, 1/31/2025, 20026684
Miller Max, 2/24/2025, 20027838
Moore Tim, 2/15/2025, 20026796
Morrison Kelly Louise, 2/2/2025, 20026695
Moskowitz Jared, 2/10/2025, 20026731
Moskowitz Jared, 3/6/2025, 20027896
Pelosi Nancy, 1/17/2025, 20026590
Peters Scott, 1/15/2025, 20026577
Peters Scott, 2/18/2025, 20026774
Pfluger August Lee II, 2/15/2025, 20021220
Randall Emily, 2/11/2025, 20026756
Reschenthaler Guy Mr, 1/9/2025, 20026547
Schneider Bradley, 3/5/2025, 20027911
Shreve Jefferson, 2/12/2025, 20026770
Spartz Victoria, 2/10/2025, 20026754
Waltz Michael, 1/23/2025, 20026639
Wasserman Schultz Debbie, 3/6/2025, 20027912
Williams Roger, 3/1/2025, 20027867
Yakym Rudy, 1/28/2025, 20026666
